input ,Generasi,Hasil,Kesalahan,Fitness
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,2,gDdaH35rYyqvrbKR0OCxkDKxz2r3aVujZW,31,-1
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,3,w7IrYf8Xl b0pTPwkVuDJPIZ0833ZSmfp0,30,0
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,4,wxIUYr8Xq G0wNawoQyDw2IM07v3v23f9Y,28,2
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,5,JDdak3arm 3DuUv9cOJ4GNeuOIeD205VnX,27,3
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,6,TDHakOadm  Duxvp5 f4Gldzvp3120qUsX,26,4
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,7,TDHakOadm  Duxvp5 f4Gldzvp3120qUsX,26,4
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,8,kWdakledqP8cEg5N0Bya1GQM 629vqm1VY,24,6
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,9,T dzxlEOErjeTg5sDOyaQnJM p63B2l1Vr,23,7
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,10,1sQaMsata3yKFQ8TutARS3oM k63sw1R00,22,8
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,11,w3haC a93QysDg8pFgJaSNtUWB63241i00,20,10
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,12,TiTaktadlpCFTgV6uHyZ3NuM0163m41DLY,19,11
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,13,TiTaktadlpCFTgV6uHyZ3NuM0163m41DLY,19,11
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,14,T7dvkfad0 COnNY5wxya8zoMU16322lY00,17,13
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,15,TRJjkm2dd A6ngvp3fyaQNYM 16RI21100,15,15
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,16,TRJjkm2dd A6ngvp3fyaQNYM 16RI21100,15,15
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,17,IidOk gMa ye0gepDnyahNUM L6dm211P0,14,16
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,18,TDdZ9 al7Bqqngzpunya N3M 163221J00,11,19
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,19,TDdZ9 al7Bqqngzpunya N3M 163221J00,11,19
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,20,TDdZ9 al7Bqqngzpunya N3M 163221J00,11,19
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,21,TDdZ9 al7Bqqngzpunya N3M 163221J00,11,19
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,22,TidakIaSa x6GgepDnya 9IM L63221102,10,20
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,23,TidakIaSa x6GgepDnya 9IM L63221102,10,20
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,24,TidakIaSa x6GgepDnya 9IM L63221102,10,20
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,25,Tidak 7wp yyng puWya6IIM 163201100,8,22
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,26,Tidak 7wp yyng puWya6IIM 163201100,8,22
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,27,Tidak ada yyngQPunya rod 1632Q1100,7,23
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,28,Tidak ada yyngQPunya rod 1632Q1100,7,23
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,29,Tidak ada yyngQPunya rod 1632Q1100,7,23
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,30,Tidak ada yyngQPunya rod 1632Q1100,7,23
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,31,Tidak aVa yyng pu3ya6NIp 163221100,5,25
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,32,Tidak aVa yyng pu3ya6NIp 163221100,5,25
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,33,Tidak aVa yyng pu3ya6NIp 163221100,5,25
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,34,TIdak ada ycSg pukya NIM 163221100,4,26
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,35,TIdak ada ycSg pukya NIM 163221100,4,26
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,36,Tidak ada yyng punya9NIMU163221100,3,27
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,37,Tidak ada yyng punya9NIMU163221100,3,27
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,38,Tidak ada yyng punya9NIMU163221100,3,27
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,39,Tidak ada yyng punya9NIMU163221100,3,27
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,40,Tidak ada yyng punya9NIMU163221100,3,27
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,41,Tidak ada yyng punya9NIMU163221100,3,27
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,42,Tidak ada yyng punya9NIMU163221100,3,27
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,43,Tidak ada yyng punya9NIMU163221100,3,27
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,44,TGdak ada yang punyafNIM 163221100,2,28
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,45,TGdak ada yang punyafNIM 163221100,2,28
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,46,TGdak ada yang punyafNIM 163221100,2,28
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,47,Tidak ada yang punya NIM 163221S00,1,29
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,48,Tidak ada yang punya NIM 163221S00,1,29
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,49,Tidak ada yang punya NIM 163221S00,1,29
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,50,Tidak ada yang punya NIM 163221S00,1,29
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,51,Tidak ada yang punya NIM 163221S00,1,29
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,52,Tidak ada yang punya NIM 163221S00,1,29
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,53,Tidak ada yang punya NIM 163221S00,1,29
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,54,Tidak ada yang punya NIM 163221S00,1,29
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,55,Tidak ada yang punya NIM 163221S00,1,29
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,56,Tidak ada yang punya NIM 163221S00,1,29
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,57,Tidak ada yang punya NIM 163221S00,1,29
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,58,Tidak ada yang punya NIM 163221S00,1,29
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,59,Tidak ada yang punya NIM 163221S00,1,29
Jbcq9On2FkwaGoPmtf4VHEBC30uSp8WDKjrQiXz7ZgYAsvyL1h6T x5RNeIdlMU,60,Tidak ada yang punya NIM 163221S00,1,29
